12,-27,NaN,NaN,-3,NaN,NaN,NaN,-32,-24,NaN,NaN,NaN
11,-26,NaN,NaN,6,NaN,NaN,NaN,-12,10,NaN,NaN,NaN
18,-16,NaN,NaN,7,NaN,NaN,NaN,-16,-3,NaN,NaN,NaN
NaN,-23,NaN,NaN,24,NaN,NaN,NaN,-21,-14,NaN,NaN,NaN
28,-9,NaN,NaN,18,NaN,NaN,NaN,-3,18,NaN,NaN,NaN
NaN,-25,NaN,NaN,-10,-29,NaN,NaN,NaN,-24,NaN,-28,NaN
NaN,NaN,NaN,NaN,-2,-34,-10,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,-18,NaN
NaN,NaN,6,NaN,6,NaN,7,NaN,NaN,7,-12,NaN,NaN
NaN,NaN,NaN,NaN,14,NaN,15,NaN,-12,NaN,4,-14,NaN
NaN,NaN,NaN,3,3,NaN,3,2,-19,NaN,-5,NaN,2
NaN,NaN,NaN,NaN,-14,NaN,-10,-19,NaN,-16,NaN,NaN,NaN
35,NaN,NaN,4,6,-32,-8,-1,-26,NaN,-23,NaN,0
NaN,7,15,15,19,-3,NaN,6,-20,NaN,5,-2,12
NaN,NaN,-10,-12,7,-20,-9,NaN,NaN,NaN,-14,NaN,NaN
NaN,NaN,-7,NaN,-4,-17,NaN,NaN,NaN,NaN,NaN,-23,-15
