492,477,NaN,492,480,NaN,495,491,478,477,NaN,472,488,NaN,482,NaN,476,483,476,487,NaN,484,NaN,479,NaN,NaN,481,478,485,473,476,481,480,NaN,NaN,471,484,NaN,474,478,479,475,NaN,NaN,477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,483,481,NaN,NaN,482
852,837,NaN,849,841,843,NaN,854,838,836,NaN,834,NaN,NaN,840,NaN,835,840,837,836,NaN,840,NaN,837,NaN,NaN,835,838,852,NaN,835,837,841,836,NaN,833,844,NaN,NaN,832,840,838,NaN,NaN,NaN,NaN,NaN,834,NaN,NaN,NaN,NaN,836,839,839,NaN,NaN,842
1222,1185,NaN,1211,1207,1209,NaN,1223,1203,1202,NaN,1198,NaN,1212,1206,NaN,1202,NaN,1195,1205,NaN,1203,NaN,1204,NaN,NaN,1206,1204,NaN,NaN,1202,1203,NaN,1204,NaN,1196,1209,NaN,NaN,1201,1206,1200,NaN,NaN,1201,NaN,1203,1198,NaN,NaN,NaN,NaN,1203,1201,1203,NaN,NaN,1208
1570,NaN,NaN,1557,1554,1552,NaN,1575,1552,1551,1552,1549,1574,NaN,1553,NaN,1546,NaN,1544,1553,NaN,1552,NaN,1551,NaN,1552,1551,1552,1565,1547,1543,1553,1550,1547,NaN,1543,1563,NaN,NaN,1541,1553,1548,NaN,NaN,NaN,NaN,NaN,1542,NaN,NaN,NaN,NaN,NaN,1547,1552,NaN,NaN,1558
1958,1913,NaN,1948,1943,NaN,1962,1958,1939,1941,NaN,1909,NaN,NaN,1939,1938,1939,1943,1939,1943,NaN,1940,NaN,1940,NaN,NaN,1939,1940,1951,NaN,1938,1942,1939,1940,NaN,NaN,1950,1941,1939,1939,1943,1940,NaN,1941,NaN,NaN,1941,1940,NaN,NaN,NaN,NaN,1944,1940,1939,NaN,NaN,1951
2319,2303,NaN,2314,2305,NaN,NaN,2317,2306,2303,NaN,2267,2315,NaN,2306,2304,2299,NaN,2305,NaN,NaN,2303,NaN,2299,2321,NaN,2305,2305,NaN,2306,2303,2305,2308,2305,NaN,2299,2309,NaN,2303,2306,NaN,2299,NaN,NaN,2300,NaN,2301,2300,2318,NaN,2305,2305,2299,2303,NaN,NaN,NaN,2319
2673,2659,2673,2672,2660,NaN,2675,2675,2660,2660,2660,2628,NaN,2660,2663,2659,2658,2663,2659,NaN,NaN,2661,2659,NaN,2676,NaN,2660,2658,2664,2658,2658,2659,2660,2659,NaN,2656,2668,2660,2659,2658,2661,NaN,2663,2660,NaN,2659,2661,NaN,NaN,NaN,2658,NaN,NaN,2662,2660,NaN,NaN,2666
NaN,3000,NaN,3021,2998,3005,NaN,3028,3001,2999,NaN,2995,NaN,NaN,NaN,3004,3000,NaN,2998,3007,3007,3005,3001,2996,3033,NaN,3003,3001,NaN,3000,2998,3005,3003,NaN,NaN,NaN,3013,NaN,2999,2999,3005,3000,3004,3005,NaN,3002,NaN,NaN,3020,3006,3000,2999,NaN,3004,NaN,NaN,3000,3015
NaN,NaN,3407,3405,NaN,3397,NaN,3411,3396,3395,NaN,3389,NaN,3394,NaN,3396,3394,NaN,NaN,3398,3393,3394,3392,NaN,3412,3389,3397,3396,NaN,NaN,3394,NaN,NaN,3396,3412,NaN,3406,3393,NaN,3394,3400,3391,3399,3398,NaN,NaN,NaN,NaN,3405,NaN,3396,NaN,NaN,3394,3393,NaN,NaN,3404
NaN,NaN,NaN,3757,NaN,3752,NaN,NaN,3735,3735,3737,3733,NaN,3738,NaN,3735,3733,NaN,NaN,3747,3735,3734,NaN,NaN,3761,NaN,3735,3734,NaN,NaN,3734,NaN,NaN,3734,3763,3726,3746,3735,NaN,3735,3736,NaN,3735,3735,3731,NaN,NaN,NaN,3756,NaN,3735,3732,3733,3734,3734,NaN,3733,3738
